      6,﨟次
      4,﨟長
  12897,一々
   2350,一丁
  14022,一世
    277,一両
  65865,一丸
   4696,一事
 279937,一人
   8016,一介
   5244,一代
  20877,一任
  30340,一休
 738955,一体
     10,一倍
  37197,一元
  10574,一先
   1969,一入
     11,一六
   1951,一円
    159,一再
    106,一分
 939238,一切
   6949,一利
  68891,一刻
  37440,一助
     16,一千
    357,一半
  80537,一口
  12780,一句
 209072,一同
  83222,一向
  92881,一味
   8929,一命
 212241,一品
 123878,一員
   9090,一喝
  22349,一回
  46199,一因
   8928,一団
  27145,一堂
  37636,一報
   2215,一場
  25128,一塁
    386,一塩
  22436,一声
  65296,一変
    331,一夕
  62311,一夜
  63080,一大
   1412,一天
   2650,一如
   4966,一存
   1001,一季
 778021,一定
  32625,一室
 156081,一家
  14059,一寸
 310997,一層
   9462,一山
   9903,一巡
    138,一己
   1436,一巻
   3300,一席
  62193,一帯
  21722,一幕
1053313,一度
   9270,一座
    162,一廉
     67,一廓
  86031,一式
  37882,一役
 134787,一律
    177,一得
   4555,一徹
  44379,一心
 658307,一応
  26175,一念
  96963,一息
  11338,一意
   8056,一戦
   1078,一所
  16293,一手
   3823,一打
    507,一抱
  12725,一抹
 528908,一括
    815,一指
  67878,一挙
  35378,一掃
     68,一掬
  12987,一揆
    225,一揖
     66,一摑
  83047,一撃
    182,一擲
    108,一散
 168350,一斉
  61968,一新
2104762,一方
  96219,一族
    669,一旗
 324204,一旦
     97,一旬
  36761,一昔
 647288,一時
   2300,一晩
  28765,一服
  77204,一望
   1247,一朝
   5010,一期
    577,一本
    179,一札
   2846,一条
  36132,一杯
      8,一枚
   7795,一案
 104129,一概
  22970,一様
   3250,一樹
    956,一欠片
 105699,一段
     51,一毫
 907577,一気
   1146,一汗
    204,一決
   1614,一法
   1340,一泡
  12517,一派
 175816,一流
     65,一溜
  18423,一滴
   1748,一点
   2999,一物
  17868,一理
 201573,一環
     49,一瓢
 434738,一生
4161543,一番
   5614,一癖
   5058,一白
   6249,一皮
 190063,一目
   3024,一眠
